,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_100lr_relu,0.9953,0.0007,0.9436,0.0021,0.9436,0.0021,1.2459,0.0038
ctrl_100lr_tanh,0.9913,0.0008,0.9208,0.0035,0.9205,0.0036,1.2839,0.0066
ctrl_11tlr_relu,0.9958,0.0007,0.9451,0.0023,0.9451,0.0023,1.2414,0.0021
ctrl_11tlr_tanh,0.9942,0.0007,0.9372,0.0009,0.9371,0.0010,1.2543,0.0015
ctrl_30p_relu,0.9957,0.0004,0.9426,0.0036,0.9427,0.0036,1.2444,0.0057
ctrl_30p_tanh,0.9925,0.0007,0.9294,0.0024,0.9291,0.0025,1.2665,0.0037
default,0.9953,0.0004,0.9396,0.0016,0.9395,0.0017,1.2501,0.0025
emb_100lr_relu_alpha,0.9958,0.0008,0.9477,0.0006,0.9477,0.0006,1.2456,0.0013
emb_100lr_relu_standard,0.9918,0.0023,0.9359,0.0027,0.9358,0.0028,1.2505,0.0030
emb_100lr_tanh_alpha,0.9719,0.0019,0.8697,0.0118,0.8677,0.0117,1.3551,0.0141
emb_100lr_tanh_standard,0.9957,0.0004,0.9463,0.0020,0.9463,0.0020,1.2415,0.0034
emb_107tlrlr_relu_M_relu_alpha,0.9971,0.0004,0.9611,0.0039,0.9611,0.0039,1.2227,0.0066
emb_107tlrlr_relu_M_relu_standard,0.9965,0.0004,0.9555,0.0020,0.9555,0.0020,1.2254,0.0029
emb_107tlrlr_tanh_M_relu_alpha,0.9974,0.0002,0.9644,0.0008,0.9644,0.0008,1.2155,0.0014
emb_107tlrlr_tanh_M_relu_standard,0.9965,0.0007,0.9518,0.0017,0.9518,0.0017,1.2345,0.0019
emb_11tlr_relu_alpha,0.9966,0.0006,0.9558,0.0008,0.9559,0.0008,1.2261,0.0012
emb_11tlr_relu_standard,0.9964,0.0004,0.9502,0.0037,0.9503,0.0036,1.2348,0.0047
emb_11tlr_tanh_alpha,0.9958,0.0006,0.9466,0.0013,0.9466,0.0013,1.2394,0.0035
emb_11tlr_tanh_standard,0.9964,0.0004,0.9498,0.0009,0.9498,0.0009,1.2353,0.0012
emb_30p_relu_M_relu_alpha,0.9970,0.0004,0.9632,0.0010,0.9633,0.0010,1.2161,0.0013
emb_30p_relu_M_relu_standard,0.9962,0.0001,0.9518,0.0015,0.9519,0.0015,1.2332,0.0031
emb_30p_relu_alpha,0.9967,0.0004,0.9528,0.0020,0.9529,0.0020,1.2374,0.0035
emb_30p_relu_standard,0.9925,0.0013,0.9350,0.0041,0.9350,0.0042,1.2511,0.0044
emb_30p_tanh_M_relu_alpha,0.9969,0.0004,0.9622,0.0013,0.9623,0.0012,1.2164,0.0016
emb_30p_tanh_M_relu_standard,0.9960,0.0005,0.9544,0.0013,0.9545,0.0013,1.2280,0.0022
emb_30p_tanh_alpha,0.9839,0.0046,0.8989,0.0124,0.8981,0.0131,1.3155,0.0178
emb_30p_tanh_standard,0.9956,0.0003,0.9455,0.0031,0.9455,0.0031,1.2422,0.0051
emb_96lrlr_relu_M_relu_alpha,0.9975,0.0003,0.9636,0.0009,0.9637,0.0009,1.2183,0.0020
emb_96lrlr_relu_M_relu_standard,0.9964,0.0006,0.9553,0.0028,0.9554,0.0028,1.2278,0.0047
emb_96lrlr_tanh_M_relu_alpha,0.9969,0.0004,0.9640,0.0010,0.9640,0.0010,1.2181,0.0017
emb_96lrlr_tanh_M_relu_standard,0.9966,0.0003,0.9535,0.0018,0.9536,0.0018,1.2303,0.0037
