,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_12lr_relu,7.4495,24.0000,0.2990,0.0092
ctrl_12lr_tanh,7.2218,26.0000,0.2756,0.0082
ctrl_30p_relu,7.4678,26.0000,0.2850,0.0088
ctrl_30p_tanh,13.5213,27.0000,0.5006,0.0117
ctrl_57tlr_relu,7.4072,25.0000,0.2880,0.0086
ctrl_57tlr_tanh,7.4359,26.0000,0.2820,0.0084
default,6.5150,24.0000,0.2666,0.0080
emb_12lr_relu_M_relu_alpha,7.7364,23.0000,0.3319,0.0111
emb_12lr_relu_M_relu_standard,10.7882,24.0000,0.4329,0.0111
emb_12lr_relu_alpha,6.8255,23.0000,0.2869,0.0090
emb_12lr_relu_standard,7.0644,24.0000,0.2853,0.0090
emb_12lr_tanh_M_relu_alpha,8.1798,21.0000,0.3826,0.0119
emb_12lr_tanh_M_relu_standard,7.8881,24.0000,0.3186,0.0105
emb_12lr_tanh_alpha,6.0423,21.0000,0.2805,0.0087
emb_12lr_tanh_standard,7.1050,24.0000,0.2870,0.0095
emb_30p_relu_M_relu_alpha,7.3372,23.0000,0.3126,0.0103
emb_30p_relu_M_relu_standard,7.9418,25.0000,0.3167,0.0103
emb_30p_relu_alpha,8.4555,29.0000,0.2828,0.0089
emb_30p_relu_standard,7.3775,25.0000,0.2886,0.0090
emb_30p_tanh_M_relu_alpha,6.4387,20.0000,0.3204,0.0109
emb_30p_tanh_M_relu_standard,9.2495,25.0000,0.3665,0.0114
emb_30p_tanh_alpha,5.8916,20.0000,0.2909,0.0093
emb_30p_tanh_standard,7.3239,25.0000,0.2920,0.0088
emb_57tlr_relu_M_relu_alpha,9.4218,25.0000,0.3686,0.0117
emb_57tlr_relu_M_relu_standard,9.2056,26.0000,0.3535,0.0119
emb_57tlr_relu_alpha,8.9255,30.0000,0.2907,0.0091
emb_57tlr_relu_standard,7.3927,25.0000,0.2892,0.0091
emb_57tlr_tanh_M_relu_alpha,6.3202,19.0000,0.3196,0.0104
emb_57tlr_tanh_M_relu_standard,12.5890,24.0000,0.5152,0.0185
emb_57tlr_tanh_alpha,5.6990,19.0000,0.2859,0.0088
emb_57tlr_tanh_standard,7.6223,26.0000,0.2891,0.0090
