embedding-model,CA-MSE,OT-AUC,HI-AUC,AD-AUC,CH-AUC,FB-MSE,HO-MSE,CO-AUC,GE-AUC,SA-AUC
l-LR-s,0.053,0.9704,0.5494,0.8923,0.8546,0.0104,0.0715,0.9666,0.7833,0.894
l-LR-a,0.0538,0.9646,0.7542,0.8214,0.8458,0.0115,0.0493,0.9657,0.7911,0.8896
l-LT-s,0.053,0.8988,0.6638,0.8888,0.8521,0.0106,0.0566,0.9783,0.7798,0.8618
l-LT-a,0.0496,0.9066,0.7955,0.8717,0.8495,0.0099,0.0442,0.9201,0.8274,0.8955
l-LRLR-s,0.0575,0.897,0.799,0.9105,0.8582,0.0093,0.0651,0.9692,0.7897,0.877
l-LRLR-a,0.047,0.9716,0.8136,0.9087,0.8529,0.0081,0.0444,0.9981,0.8108,0.8997
l-LTLR-s,0.0574,0.6885,0.7885,0.9091,0.852,0.0101,0.0444,0.9896,0.8414,0.8966
l-LTLR-a,0.047,0.9649,0.8013,0.9174,0.852,0.0073,0.036,0.9963,0.8545,0.9028
t-LR-s,0.0832,0.9652,0.7377,0.902,0.8572,0.0104,0.0509,0.9965,0.8058,0.8946
t-LR-a,0.0873,0.9608,0.7646,0.8435,0.8444,0.011,0.0513,0.9982,0.7784,0.8922
t-LT-s,0.0858,0.9639,0.6883,0.8971,0.8502,0.0111,0.0513,0.9979,0.8033,0.879
t-LT-a,0.0528,0.9611,0.7881,0.8856,0.8482,0.0092,0.0464,0.9972,0.8121,0.8946
t-LRLR-s,0.0511,0.9553,0.7874,0.9088,0.8598,0.0106,0.0457,0.9914,0.7987,0.8909
t-LRLR-a,0.0459,0.9695,0.7954,0.9133,0.8376,0.0083,0.044,0.9955,0.7964,0.8977
t-LTLR-s,0.0524,0.9644,0.7999,0.9095,0.8614,0.01,0.0466,0.9946,0.7998,0.8906
t-LTLR-a,0.051,0.9737,0.8112,0.9143,0.8488,0.0087,0.0434,0.9915,0.8181,0.9054
