,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_128lr_relu,0.0584,0.0091,0.2410,0.0186,0.7943,0.0346
ctrl_128lr_tanh,0.0677,0.0070,0.2598,0.0137,0.7620,0.0266
ctrl_30p_relu,0.0598,0.0070,0.2442,0.0146,0.7896,0.0256
ctrl_30p_tanh,0.0633,0.0062,0.2512,0.0124,0.7774,0.0240
ctrl_48tlr_relu,0.0570,0.0103,0.2377,0.0213,0.7992,0.0393
ctrl_48tlr_tanh,0.0850,0.0258,0.2886,0.0414,0.7012,0.0917
default,0.0662,0.0138,0.2560,0.0262,0.7666,0.0513
emb_128lr_relu_M_relu_alpha,0.0477,0.0049,0.2182,0.0115,0.8319,0.0197
emb_128lr_relu_M_relu_standard,0.0666,0.0163,0.2562,0.0310,0.7659,0.0567
emb_128lr_relu_alpha,0.0539,0.0035,0.2320,0.0076,0.8104,0.0138
emb_128lr_relu_standard,0.0792,0.0266,0.2777,0.0454,0.7206,0.0965
emb_128lr_tanh_M_relu_alpha,0.0448,0.0028,0.2116,0.0067,0.8425,0.0100
emb_128lr_tanh_M_relu_standard,0.0870,0.0222,0.2927,0.0359,0.6938,0.0801
emb_128lr_tanh_alpha,0.0451,0.0018,0.2122,0.0042,0.8417,0.0049
emb_128lr_tanh_standard,0.0733,0.0187,0.2685,0.0343,0.7417,0.0691
emb_30p_relu_M_relu_alpha,0.0451,0.0040,0.2122,0.0093,0.8412,0.0167
emb_30p_relu_M_relu_standard,0.0699,0.0183,0.2621,0.0352,0.7538,0.0656
emb_30p_relu_alpha,0.0556,0.0024,0.2358,0.0051,0.8044,0.0099
emb_30p_relu_standard,0.0752,0.0228,0.2713,0.0406,0.7350,0.0821
emb_30p_tanh_M_relu_alpha,0.0456,0.0034,0.2133,0.0079,0.8399,0.0114
emb_30p_tanh_M_relu_standard,0.0610,0.0071,0.2465,0.0140,0.7860,0.0221
emb_30p_tanh_alpha,0.0463,0.0027,0.2150,0.0063,0.8374,0.0095
emb_30p_tanh_standard,0.0648,0.0108,0.2537,0.0210,0.7716,0.0412
emb_48tlr_relu_M_relu_alpha,0.0512,0.0069,0.2256,0.0156,0.8201,0.0249
emb_48tlr_relu_M_relu_standard,0.0808,0.0199,0.2822,0.0333,0.7159,0.0714
emb_48tlr_relu_alpha,0.0530,0.0060,0.2298,0.0130,0.8140,0.0192
emb_48tlr_relu_standard,0.0728,0.0203,0.2671,0.0378,0.7448,0.0682
emb_48tlr_tanh_M_relu_alpha,0.0437,0.0028,0.2090,0.0067,0.8463,0.0098
emb_48tlr_tanh_M_relu_standard,0.0625,0.0086,0.2493,0.0172,0.7803,0.0310
emb_48tlr_tanh_alpha,0.0453,0.0038,0.2127,0.0086,0.8408,0.0115
emb_48tlr_tanh_standard,0.0692,0.0197,0.2606,0.0357,0.7564,0.0707
