embedding-model,HO-MSE,CH-AUC,GE-AUC,OT-AUC,SA-AUC,CA-MSE,FB-MSE,AD-AUC,HI-AUC,CO-AUC
default,0.042,0.861,0.8273,0.9695,0.8658,0.0662,0.0107,0.9106,0.8129,0.9978
l-FR,0.0443,0.8529,0.8141,0.969,0.8724,0.0584,0.0101,0.9089,0.7887,0.9976
l-FT,0.0425,0.864,0.8115,0.9694,0.8606,0.0677,0.0106,0.9068,0.7884,0.9977
l-LR-s,0.0411,0.8635,0.8078,0.9689,0.8783,0.0792,0.0091,0.9131,0.8168,0.9979
l-LR-a,0.0469,0.85,0.8105,0.9641,0.8803,0.0539,0.0105,0.9124,0.7757,0.9974
l-LT-s,0.0417,0.8531,0.8135,0.9694,0.863,0.0733,0.0093,0.9114,0.8176,0.9976
l-LT-a,0.0486,0.8481,0.804,0.966,0.8889,0.0451,0.0092,0.9129,0.7991,0.9977
l-LRLR-s,0.0427,0.8675,0.7786,0.9695,0.8809,0.0666,0.0093,0.9133,0.8185,0.998
l-LRLR-a,0.0467,0.853,0.8185,0.9667,0.8869,0.0477,0.0086,0.9143,0.8128,0.9979
l-LTLR-s,0.0424,0.8647,0.7635,0.9698,0.8671,0.087,0.009,0.9124,0.8169,0.998
l-LTLR-a,0.0489,0.8593,0.8176,0.9664,0.8909,0.0448,0.0086,0.9174,0.8107,0.998
t-FR,0.0449,0.8545,0.8146,0.9684,0.8728,0.057,0.0104,0.9083,0.787,0.9977
t-FT,0.043,0.8639,0.806,0.9685,0.8596,0.085,0.0106,0.9065,0.7884,0.9975
t-LR-s,0.0412,0.8634,0.8121,0.9691,0.8778,0.0728,0.0093,0.9114,0.8165,0.998
t-LR-a,0.0466,0.8511,0.7885,0.9639,0.8806,0.053,0.0104,0.9119,0.7751,0.9976
t-LT-s,0.0416,0.8523,0.7973,0.9693,0.863,0.0692,0.0092,0.9107,0.817,0.9977
t-LT-a,0.0475,0.8484,0.8098,0.9658,0.8896,0.0453,0.0096,0.9131,0.7994,0.9978
t-LRLR-s,0.0444,0.8658,0.6742,0.97,0.879,0.0808,0.0095,0.9128,0.8181,0.998
t-LRLR-a,0.0434,0.8519,0.7977,0.967,0.8847,0.0512,0.0089,0.9145,0.8136,0.9979
t-LTLR-s,0.0441,0.8652,0.7296,0.9698,0.8654,0.0625,0.0093,0.9123,0.8171,0.9979
t-LTLR-a,0.0489,0.8512,0.8188,0.9664,0.8923,0.0437,0.0087,0.9163,0.8108,0.9981
p-FR,0.0447,0.8546,0.8153,0.9689,0.8713,0.0598,0.0103,0.9093,0.794,0.9976
p-FT,0.0426,0.863,0.8162,0.9694,0.8609,0.0633,0.0107,0.9058,0.7907,0.9975
p-LR-s,0.0416,0.8623,0.8092,0.9698,0.8786,0.0752,0.0092,0.9119,0.816,0.998
p-LR-a,0.0478,0.8501,0.79,0.9609,0.8802,0.0556,0.0102,0.9127,0.7794,0.9976
p-LT-s,0.042,0.8627,0.8152,0.9696,0.8628,0.0648,0.0093,0.912,0.8175,0.9977
p-LT-a,0.0506,0.8484,0.818,0.9638,0.8894,0.0463,0.0095,0.9117,0.7997,0.9974
p-LRLR-s,0.0463,0.8644,0.7239,0.9698,0.8819,0.0699,0.009,0.9111,0.8178,0.9978
p-LRLR-a,0.0455,0.8531,0.8015,0.9624,0.8866,0.0451,0.0086,0.9148,0.8117,0.9978
p-LTLR-s,0.0419,0.8659,0.752,0.9696,0.8699,0.061,0.0091,0.9121,0.8179,0.9978
p-LTLR-a,0.0516,0.8622,0.8146,0.9656,0.8901,0.0456,0.0087,0.9158,0.8146,0.9983
