,adult-epochs,adult-tpe,covtype-epochs,covtype-tpe,higgs-small-epochs,higgs-small-tpe,churn-epochs,churn-tpe,otto-epochs,otto-tpe,house-epochs,house-tpe,california-epochs,california-tpe,santander-epochs,santander-tpe,gesture-epochs,gesture-tpe,fb-comments-epochs,fb-comments-tpe
l-LR-a,55.0000,2.0126,227.0000,54.8350,82.0000,7.6715,65.0000,0.4049,93.0000,16.3181,100.0000,0.5581,157.0000,0.8171,59.0000,103.5239,140.0000,1.0745,120.0000,16.7427
l-LR-r,35.0000,2.0276,174.0000,54.1211,57.0000,7.7005,55.0000,0.4118,92.0000,16.2649,137.0000,0.5694,179.0000,0.8220,45.0000,103.3414,82.0000,1.0832,70.0000,16.9378
l-LR-s,47.0000,2.0226,240.0000,54.7840,102.0000,7.7023,56.0000,0.4127,214.0000,16.3297,194.0000,0.5558,179.0000,0.8215,61.0000,103.7516,138.0000,1.0816,83.0000,16.7963
l-LT-a,28.0000,2.0287,44.0000,54.7463,26.0000,7.7007,25.0000,0.4115,33.0000,16.3456,73.0000,0.5644,90.0000,0.8214,25.0000,103.6371,37.0000,1.0880,38.0000,16.8906
l-LT-r,36.0000,2.5407,190.0000,54.7544,57.0000,7.6688,50.0000,0.5117,97.0000,16.3124,160.0000,0.6807,148.0000,1.0417,46.0000,103.6259,92.0000,1.2306,73.0000,16.7631
l-LT-s,36.0000,2.0071,205.0000,54.9213,105.0000,7.6759,72.0000,0.4128,190.0000,16.2908,133.0000,0.5658,152.0000,0.8210,82.0000,103.7424,144.0000,1.0736,78.0000,16.7273
t-LR-a,88.0000,1.2311,215.0000,56.7131,91.0000,13.7978,50.0000,0.5691,157.0000,13.4947,131.0000,0.9227,114.0000,1.3140,76.0000,58.7185,139.0000,1.4644,102.0000,27.9389
t-LR-r,72.0000,1.2347,168.0000,56.7595,45.0000,13.9296,34.0000,0.5648,127.0000,13.5096,129.0000,0.9339,71.0000,1.2993,100.0000,58.7973,139.0000,1.4784,70.0000,28.0270
t-LR-s,97.0000,1.2490,199.0000,56.8334,94.0000,13.7863,36.0000,0.5881,211.0000,13.4778,187.0000,0.9196,93.0000,1.2971,90.0000,58.5825,196.0000,1.4667,91.0000,27.8989
t-LT-a,45.0000,1.2371,43.0000,56.8123,26.0000,13.9517,33.0000,0.5673,40.0000,13.5491,61.0000,0.9583,56.0000,1.3122,32.0000,58.8008,55.0000,1.4835,45.0000,27.9316
t-LT-r,68.0000,1.5931,162.0000,57.4966,48.0000,13.7832,39.0000,0.7298,132.0000,13.4642,125.0000,1.1765,77.0000,1.4787,87.0000,58.9133,154.0000,1.5730,81.0000,27.9172
t-LT-s,57.0000,1.2450,222.0000,57.5215,90.0000,13.8109,60.0000,0.5673,223.0000,13.5031,196.0000,0.9316,77.0000,1.3118,95.0000,58.6501,147.0000,1.4801,104.0000,27.8987
